Survived,Pclass,Sex,Parch,SibSp_0,SibSp_1,SibSp_2,SibSp_4,SibSp_3,SibSp_8,SibSp_5
1,1,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0
0,3,1,2,0,0,0,0,1,0,0
1,2,1,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,2,0,1,0,1,0,0,0,0,0
0,3,1,5,1,0,0,0,0,0,0
0,3,0,0,0,1,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,0
0,3,1,2,0,0,0,0,1,0,0
1,3,0,0,1,0,0,0,0,0,0
1,3,1,1,0,0,1,0,0,0,0
1,1,0,0,0,1,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,3,1,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,2,1,1,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,3,1,0,1,0,0,0,0,0,0
0,3,1,0,1,0,0,0,0,0,0
0,2,0,0,0,0,1,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,1,1,0,1,0,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0
0,1,0,2,1,0,0,0,0,0,0
1,1,0,0,0,0,1,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,3,0,0,0,1,0,0,0,0,0
0,2,0,0,0,0,1,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,1,1,0,0,1,0,0,0,0,0
1,2,1,1,0,1,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0
1,2,0,0,1,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,3,1,0,1,0,0,0,0,0,0
0,3,1,6,0,1,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0,0
0,3,1,0,1,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,2,0,0,0,0,0,0,1
0,2,0,1,0,1,0,0,0,0,0
0,2,0,2,0,1,0,0,0,0,0
0,3,0,1,0,0,0,1,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0,0
1,3,1,1,1,0,0,0,0,0,0
1,3,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,3,1,0,1,0,0,0,0,0,0
0,1,0,1,0,1,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,1,1,0,0,1,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0
0,3,1,1,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,0,0,1,0,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0
1,2,1,0,1,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,0
1,3,0,1,0,1,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,0
1,2,1,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,2,1,1,1,0,0,0,0,0,0
0,3,0,0,0,1,0,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,2,1,0,0,0,0,0,1,0,0
1,3,1,0,1,0,0,0,0,0,0
0,2,0,0,0,1,0,0,0,0,0
0,3,1,0,0,1,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,1,3,0,1,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0
1,1,1,2,0,0,1,0,0,0,0
0,3,0,0,0,1,0,0,0,0,0
1,3,0,0,1,0,0,0,0,0,0
0,1,0,1,0,1,0,0,0,0,0
0,3,0,1,0,1,0,0,0,0,0
1,2,1,0,1,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,2,1,1,0,1,0,0,0,0,0
1,3,0,1,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,2,1,2,0,1,0,0,0,0,0
1,2,0,1,0,1,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,3,0,0,1,0,0,0,0,0,0
1,1,1,2,0,1,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,1,1,0,0,1,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0
0,3,1,0,1,0,0,0,0,0,0
0,3,0,0,0,1,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,2,1,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,2,1,3,0,1,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,3,1,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0
1,3,1,0,1,0,0,0,0,0,0
1,1,1,0,0,1,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0
0,3,0,2,0,1,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,3,1,0,1,0,0,0,0,0,0
0,3,0,1,0,0,0,1,0,0,0
1,3,0,2,0,1,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0
0,3,1,2,0,0,0,0,0,1,0
0,1,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,0
1,3,1,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,1,1,0,1,0,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0
1,2,1,1,0,1,0,0,0,0,0
1,1,0,2,0,1,0,0,0,0,0
1,3,0,1,1,0,0,0,0,0,0
1,3,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0
0,3,1,0,1,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0
1,1,1,0,0,1,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0
0,3,1,2,0,0,0,1,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0
0,3,1,0,1,0,0,0,0,0,0
0,2,0,1,0,1,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,2,0,0,0,0,1,0,0
1,1,1,1,0,1,0,0,0,0,0
1,3,0,0,1,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0
1,3,1,1,1,0,0,0,0,0,0
0,3,0,1,0,0,0,1,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,2,0,2,1,0,0,0,0,0,0
1,3,0,0,1,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,0
1,3,1,0,0,1,0,0,0,0,0
1,2,0,1,0,1,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,1,1,1,0,1,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,3,0,0,1,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,2,0,0,0,0,0,1,0
0,3,0,0,1,0,0,0,0,0,0
0,2,0,1,1,0,0,0,0,0,0
1,1,1,0,0,1,0,0,0,0,0
0,3,0,2,0,0,0,1,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,1,1,0,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0
0,2,1,0,0,1,0,0,0,0,0
1,3,1,1,1,0,0,0,0,0,0
1,1,1,1,0,1,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0
1,3,1,3,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,0,0,0,1,0,0,0,0
0,2,0,0,0,1,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,0
0,3,1,2,0,0,0,0,0,1,0
0,2,0,0,1,0,0,0,0,0,0
1,2,1,0,1,0,0,0,0,0,0
1,2,1,0,0,1,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,3,0,1,0,1,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,1,1,1,0,1,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,2,1,0,0,1,0,0,0,0,0
1,3,1,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0
1,2,1,1,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,1,0,1,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
0,3,1,5,1,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,0
0,3,1,2,0,1,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,0
